Tiempo desde erupcion (d);Magnitud
4,622744;8,635
4,623219;8,645
4,623693;8,637
4,624168;8,647
4,624642;8,64
4,625128;8,632
4,625615;8,65
4,626089;8,655
4,626575;8,646
4,62705;8,644
4,627524;8,652
4,62801;8,653
4,628485;8,638
4,628959;8,645
4,629434;8,645
4,62992;8,649
4,630395;8,627
4,630881;8,664
4,631355;8,646
4,631841;8,666
4,632328;8,646
4,632802;8,626
4,633288;8,651
4,633763;8,651
4,634249;8,639
4,634723;8,648
4,635209;8,642
4,635684;8,64
4,63617;8,65
4,636645;8,651
4,637131;8,646
4,637605;8,637
4,638091;8,651
4,638578;8,65
4,639064;8,655
4,63955;8,634
4,640047;8,65
4,640534;8,674
4,64102;8,651
4,641506;8,638
4,641969;8,655
4,642443;8,667
4,642918;8,684
4,643404;8,639
4,64389;8,685
4,644365;8,646
4,644851;8,632
4,645325;8,68
4,645811;8,651
4,646297;8,629
4,646772;8,649
4,647246;8,667
4,647721;8,646
4,648207;8,636
4,648682;8,646
4,649168;8,633
4,649654;8,654
4,650152;8,638
4,650638;8,663
4,651124;8,642
4,65161;8,64
4,652096;8,662
4,652571;8,643
4,653045;8,658
4,65352;8,67
4,653994;8,648
4,654469;8,65
4,654943;8,659
4,655441;8,659
4,655927;8,666
4,656413;8,651
4,656888;8,654
4,657374;8,645
4,657871;8,625
4,658358;8,65
4,658844;8,639
4,659341;8,654
4,659816;8,645
4,660314;8,634
4,6608;8,642
4,661274;8,626
4,661772;8,636
4,662246;8,643
4,662744;8,638
4,66323;8,656
4,663728;8,674
4,664203;8,615
4,6647;8,624
4,665186;8,65
4,665672;8,635
4,66617;8,648
4,666668;8,643
4,667142;8,639
4,66764;8,641
4,668138;8,626
4,668612;8,641
4,66911;8,64
4,669608;8,654
4,670082;8,651
4,67058;8,637
4,671054;8,644
4,671552;8,651
4,672027;8,632
4,672524;8,646
4,673022;8,638
4,67352;8,628
4,674017;8,645
4,674492;8,639
4,67499;8,651
4,67545;8,704
4,675487;8,645
4,675962;8,624
4,676448;8,635
4,676946;8,638
4,677443;8,638
4,677941;8,648
4,67845;8,636
4,678936;8,656
4,679422;8,639
4,67992;8,632
4,680429;8,627
4,680927;8,632
4,681402;8,626
4,681899;8,647
4,682397;8,625
4,682883;8,656
4,683381;8,653
4,683878;8,635
4,684376;8,646
4,684862;8,622
4,68536;8,603
4,685846;8,623
4,686332;8,644
4,68683;8,63
4,687328;8,617
5,09137;8,755
5,540082;8,824
5,540557;8,844
5,54102;8,818
5,541494;8,785
5,541946;8,791
5,54242;8,818
5,542871;8,815
5,543346;8,802
5,543821;8,841
5,544284;8,824
5,544758;8,801
5,545209;8,806
5,545684;8,831
5,546159;8,804
5,546621;8,795
5,547096;8,806
5,547559;8,794
5,548034;8,814
5,548485;8,809
5,548959;8,827
5,549434;8,815
5,549909;8,814
5,55036;8,778
5,550834;8,815
5,551309;8,821
5,55176;8,811
5,552235;8,796
5,552709;8,802
5,553172;8,824
5,553635;8,826
5,55411;8,818
5,554584;8,817
5,555047;8,821
5,555522;8,806
5,555996;8,772
5,556459;8,817
5,556922;8,809
5,557397;8,808
5,557871;8,837
5,558346;8,825
5,558821;8,722
5,559284;8,819
5,559746;8,768
5,560221;8,822
5,560707;8,795
5,56117;8,795
5,561633;8,887
5,562108;8,817
5,562582;8,829
5,563057;8,817
5,56352;8,798
5,563983;8,808
5,564457;8,824
5,564932;8,819
5,565406;8,805
5,565881;8,799
5,566355;8,817
5,56683;8,811
5,567293;8,82
5,567756;8,828
5,568219;8,842
5,568682;8,803
5,569156;8,815
5,569631;8,816
5,570105;8,848
5,57058;8,819
5,571066;8,803
5,571529;8,828
5,571992;8,826
5,572455;8,82
5,572929;8,821
5,573404;8,815
5,573878;8,841
5,574353;8,813
5,574828;8,81
5,575302;8,8
5,575777;8,815
5,576251;8,839
5,576726;8,823
5,5772;8,818
5,577675;8,82
5,578149;8,804
5,578612;8,81
5,579075;8,828
5,579538;8,803
5,580001;8,829
5,580476;8,817
5,58095;8,842
5,581425;8,826
5,581888;8,818
5,582374;8,802
5,582848;8,808
5,583311;8,815
5,583786;8,826
5,58426;8,837
